id,type,category,question,choice1,choice2,choice3,choice4,answer,explanation,hint
1,객관식,기술교육론·교육과정,2022 개정 중학교 기술 영역 구성으로 가장 적절한 것은?,기술적 문제해결과 혁신 / 지속가능한 기술과 융합,기술의 세계 / 가정생활,제조 기술 / 수송 기술 / 건설 기술만,정보 / 인공지능 / 프로그래밍만,1,"2022 개정 중학교 기술 영역은 크게 기술적 문제해결과 혁신, 지속가능한 기술과 융합의 두 축으로 이해할 수 있다.",두 영역 모두 기술 문제 해결과 지속가능성의 관점을 포함한다.
2,객관식,기술교육론·교육과정,디자인 씽킹 수업에서 사용자의 불편을 관찰하고 인터뷰하는 단계에 가장 가까운 것은?,아이디어 선정하기,공감하기,시제품 제작하기,최종 평가하기,2,디자인 씽킹의 출발점은 사용자의 요구와 맥락을 이해하는 공감 단계이다.,사용자의 입장에서 문제를 느끼고 확인하는 단계이다.
3,객관식,기술교육론·교육과정,기술영향평가의 핵심 기능으로 보기 어려운 것은?,부정적 결과의 조기 경보,미래 예측과 대안 제시,기술 사용을 무조건 금지하는 것,가치 판단과 사회적 숙의 촉진,3,"기술영향평가는 기술을 무조건 금지하는 절차가 아니라 영향 분석, 예측, 가치 판단, 사회적 의사결정을 돕는 과정이다.",기술영향평가는 금지가 아니라 판단과 대안 탐색에 가깝다.
4,객관식,기술교육론·교육과정,STAD 협동학습에서 모둠 보상의 근거로 가장 적절한 것은?,교사가 임의로 우수 모둠을 선정한다,모둠 내 최고 점수 학생의 점수만 반영한다,모둠별 발표 순서만으로 평가한다,개별 학생의 향상 점수를 모둠 점수에 반영한다,4,"STAD는 이질적 모둠, 개별 평가, 개인별 향상 점수, 모둠 보상을 특징으로 한다.",잘하는 학생만이 아니라 각자의 향상이 중요하다.
5,객관식,기술교육론·교육과정,문제 해결 학습에서 “학생이 해결 방안을 스케치하고 제작도를 작성한다”에 가장 가까운 단계는?,계획 단계,문제 확인 단계,평가 단계,정리 및 일반화 단계,1,해결 방안을 구상하고 도면을 작성하는 활동은 실행 전 계획 단계에 해당한다.,만들기 전에 어떻게 만들지 나타내는 단계이다.
6,객관식,기술교육론·교육과정,교사가 실습 중 학생의 작업 태도와 공구 사용 능력을 계속 관찰해 기록하는 평가는?,지필 평가,관찰 평가,동형 검사,표준화 지능검사,2,"실습 과정에서 행동, 태도, 수행 능력을 직접 살피는 평가는 관찰 평가이다.",실습 중 “보고 기록하는” 평가이다.
7,객관식,기술교육론·교육과정,기술적 소양을 갖춘 사람에 대한 설명으로 가장 적절한 것은?,공구 이름만 암기한 사람,기술의 부작용을 전혀 고려하지 않는 사람,기술을 이해하고 평가하며 책임 있게 활용할 수 있는 사람,제품을 빠르게 소비만 하는 사람,3,"기술적 소양은 기술 지식, 기술 활용 능력, 기술과 사회의 관계에 대한 판단 능력을 포함한다.",기술을 만들고 쓰는 것뿐 아니라 판단하는 능력도 포함된다.
8,객관식,기술교육론·교육과정,확산적 사고 기법에 해당하는 SCAMPER의 구성 요소가 아닌 것은?,대체하기,결합하기,제거하기,채점하기,4,"SCAMPER는 Substitute, Combine, Adapt, Modify/Magnify/Minify, Put to other uses, Eliminate, Reverse/Rearrange의 사고 질문이다.",아이디어를 넓히는 질문이지 채점 기준이 아니다.
9,객관식,기술교육론·교육과정,프로젝트 학습을 기술 수업에 적용할 때 가장 중요한 관점은?,학생이 실제 문제 해결 과정에 주도적으로 참여한다,교사가 제작 절차를 모두 대신 수행한다,결과물의 외형만 평가한다,암기식 확인 문제만 반복한다,1,"프로젝트 학습은 학습자의 주도성, 실제성, 과정 중심 평가를 중시한다.",주제 선정부터 실행과 평가까지 학생 참여가 중요하다.
10,객관식,기술교육론·교육과정,기술 수업 안전 지도에서 가장 적절한 교사의 행동은?,사고가 난 뒤에만 안전을 설명한다,작업 전 안전수칙을 안내하고 실습 중 위험 행동을 즉시 지도한다,숙련된 학생에게만 보호구를 착용시킨다,도구 사용법을 생략하고 바로 제작하게 한다,2,"기술실 실습에서는 사전 안전교육, 보호구 착용, 공구 사용법 지도, 실습 중 관찰이 필수적이다.",안전은 실습 전과 실습 중 모두 필요하다.
